host,interface,admin_status,oper_status,description,mac address,vlan
172.18.2.123,Tw3/0/20,up,up,"""DATA - Wired - 802.1x""",d4a2.cd2d.0de8,2119
172.18.2.123,Tw5/0/32,up,up,"""TSA 19 Floor""",d4a2.cd31.03c6,2119
172.25.0.59,Po12,up,up,WTC-ER01-02-PO,12a8.144f.990e,3290
172.25.0.59,Po12,up,up,WTC-ER01-02-PO,162a.0f5b.cb84,3290
172.25.0.59,Po12,up,up,WTC-ER01-02-PO,1a88.90ad.f011,3290
172.25.0.59,Po12,up,up,WTC-ER01-02-PO,1e76.0332.ebd2,3290
172.25.0.59,Po12,up,up,WTC-ER01-02-PO,2647.aa15.d3ef,3290
172.25.0.59,Po12,up,up,WTC-ER01-02-PO,7a17.059b.eeb2,3290
172.25.0.59,Po12,up,up,WTC-ER01-02-PO,8a0b.a714.b671,3290
172.25.0.59,Po12,up,up,WTC-ER01-02-PO,927f.2ea5.6ed8,3290
172.25.0.59,Po12,up,up,WTC-ER01-02-PO,ee53.e568.fc25,3290
172.25.0.60,Po11,up,up,to WWTC19WC06: Port1-2,1658.9bc1.ebdf,3234
172.25.0.60,Po10,up,up,to WWTC19WC05: Port1-2,2225.2bb5.97e0,3234
172.25.0.60,Po11,up,up,to WWTC19WC06: Port1-2,3261.0b14.d6e8,3234
172.25.0.60,Po11,up,up,to WWTC19WC06: Port1-2,4a1b.28ce.f30e,3234
172.25.0.60,Po10,up,up,to WWTC19WC05: Port1-2,5a87.d818.37c2,3234
172.25.0.60,Po11,up,up,to WWTC19WC06: Port1-2,8eb5.cf68.8fba,3234
172.25.0.60,Po11,up,up,to WWTC19WC06: Port1-2,ea3d.6b62.6c83,3234
172.25.0.60,Po16,up,up,WTC-ER01-02-PO,162a.0f5b.cb84,3290
172.25.0.60,Po16,up,up,WTC-ER01-02-PO,1a88.90ad.f011,3290
172.25.0.60,Po16,up,up,WTC-ER01-02-PO,1e76.0332.ebd2,3290
172.25.0.60,Po16,up,up,WTC-ER01-02-PO,2647.aa15.d3ef,3290
172.25.0.60,Po16,up,up,WTC-ER01-02-PO,7a17.059b.eeb2,3290
172.25.0.60,Po16,up,up,WTC-ER01-02-PO,8a0b.a714.b671,3290
172.25.0.60,Po16,up,up,WTC-ER01-02-PO,927f.2ea5.6ed8,3290
172.25.0.60,Po16,up,up,WTC-ER01-02-PO,ee53.e568.fc25,3290
172.18.2.131,Vl3290,up,up,GUEST,a0bc.6ffb.ed4c,3290
172.18.2.131,Tw2/0/25,up,up,"""DATA - Wired - 802.1x""",c442.6815.2e1a,1120
172.18.2.147,Tw3/0/7,up,up,"""DATA - Wired - 802.1x""",1098.1963.7896,1121
172.18.2.147,Tw2/0/22,up,up,"""DATA - Wired - 802.1x""",1098.1963.a616,1121
172.18.2.147,Te2/0/45,up,up,"""WAP Ports""",ac23.16ec.fd32,1121
172.18.2.147,Te1/0/45,up,up,"""WAP Ports""",cad3.aa03.e2d8,3290
172.18.2.155,Te1/0/46,up,up,"""WAP Ports""",4aed.e5f4.5895,3290
172.18.2.155,Te4/0/45,up,up,"""WAP Ports""",8230.ffb0.d897,3290
172.18.2.155,Te4/0/46,up,up,"""WAP Ports""",ac23.16f0.f21b,3290
172.18.2.163,Te1/0/45,up,up,"""WAP Ports""",460c.57ac.cb62,3290
172.18.2.163,Te1/0/46,up,up,"""WAP Ports""",6a9a.9f1f.44ed,3290
172.18.2.171,Tw2/0/13,up,up,"""DATA - Wired - 802.1x""",e8cf.83bb.346a,2122
172.18.2.171,Te1/0/42,up,up,"""AV - Wired - 802.1x""",c463.fb06.661a,2722
172.18.2.171,Te1/0/48,up,up,"""WAP Ports""",264b.3a9c.bc6f,3290
172.18.2.171,Te3/0/46,up,up,"""WAP Ports""",32d1.9732.93f4,3290
172.18.2.171,Te2/0/48,up,up,"""WAP Ports""",96d8.c025.d3b8,3290
172.18.2.171,Te3/0/48,up,up,"""WAP Ports""",a83a.797e.a299,3290
172.18.2.171,Te4/0/45,up,up,"""WAP Ports""",ac23.16e9.5862,3290
172.18.2.171,Te3/0/46,up,up,"""WAP Ports""",ac23.16eb.b39c,3290
172.18.2.171,Te3/0/47,up,up,"""WAP Ports""",ac23.16eb.cedc,3290
172.18.2.171,Te4/0/41,up,up,"""WAP Ports""",ac23.16eb.e59c,3290
172.18.2.171,Te2/0/48,up,up,"""WAP Ports""",ac23.16f2.f89c,3290
172.18.2.171,Te1/0/48,up,up,"""WAP Ports""",ac23.16f3.975c,3290
172.18.2.171,Te2/0/48,up,up,"""WAP Ports""",be79.7206.5247,3290
172.18.2.171,Te2/0/48,up,up,"""WAP Ports""",c255.f4e3.8952,3290
172.18.2.171,Te2/0/48,up,up,"""WAP Ports""",ceb0.3618.a6bc,3290
172.18.2.179,Te3/0/45,up,up,"""WAP Ports""",4eca.8f17.6e84,3290
172.18.2.179,Te2/0/46,up,up,"""WAP Ports""",6ae7.463f.997a,3290
172.18.2.179,Te1/0/45,up,up,"""WAP Ports""",9ecb.0654.4ad0,3290
172.18.2.179,Te3/0/46,up,up,"""WAP Ports""",aa64.257a.f5a5,3290
172.18.2.187,Te3/0/46,up,up,"""WAP Ports""",06d9.f3a7.7e46,3290
172.18.2.187,Te1/0/46,up,up,"""WAP Ports""",1e1e.4526.c086,3290
172.18.2.187,Te1/0/46,up,up,"""WAP Ports""",2292.91c0.8bca,3290
172.18.2.187,Te2/0/46,up,up,"""WAP Ports""",9604.8b32.6ac6,3290
172.18.2.187,Te4/0/45,up,up,"""WAP Ports""",d22d.7981.ff9a,3290
172.18.2.187,Te3/0/46,up,up,"""WAP Ports""",ea33.cb07.1fd8,3290
172.18.2.195,Te1/0/47,up,up,"""WAP Ports""",1211.87e8.b152,3290
172.18.2.195,Te2/0/46,up,up,"""WAP Ports""",1a07.4898.b20c,3290
172.18.2.195,Te2/0/47,up,up,"""WAP Ports""",1ee4.e25d.a468,3290
172.18.2.195,Te4/0/46,up,up,"""WAP Ports""",2a23.f84b.b3f0,3290
172.18.2.195,Te3/0/46,up,up,"""WAP Ports""",5e91.3583.c6ed,3290
172.18.2.195,Te3/0/46,up,up,"""WAP Ports""",90cd.e85b.b509,3290
172.18.2.195,Te2/0/46,up,up,"""WAP Ports""",ac23.16f2.761b,3290
172.18.2.195,Te1/0/47,up,up,"""WAP Ports""",ac23.16f2.f41c,3290
172.18.2.195,Te4/0/47,up,up,"""WAP Ports""",ac23.16f3.3c9c,3290
172.18.2.195,Te4/0/46,up,up,"""WAP Ports""",ac23.16f3.985b,3290
172.18.3.11,Tw3/0/21,up,up,"""DATA - Wired - 802.1x""",0892.045d.bc61,2124
172.18.3.11,Tw4/0/27,up,up,"""DATA - Wired - 802.1x""",0892.0460.e51a,2124
172.18.3.11,Tw3/0/23,up,up,"""DATA - Wired - 802.1x""",a029.199a.2aab,2124
