host,interface,admin_status,oper_status,description,mac address,vlan
172.18.2.123,Tw3/0/28,up,up,"""TSA 19 Floor""",908d.6e18.a203,2119
172.18.2.123,Tw2/0/18,up,up,"""DATA - Wired - 802.1x""",a029.19bd.4c96,2119
172.18.2.123,Tw3/0/20,up,up,"""DATA - Wired - 802.1x""",d4a2.cd2d.0de8,2119
172.18.2.123,Tw5/0/24,up,up,"""TSA 19 Floor""",e8cf.83be.597d,2119
172.25.0.59,Po12,up,up,WTC-ER01-02-PO,062d.1a45.8946,3290
172.25.0.59,Po12,up,up,WTC-ER01-02-PO,162a.0f5b.cb84,3290
172.25.0.59,Po12,up,up,WTC-ER01-02-PO,1e76.0332.ebd2,3290
172.25.0.59,Po12,up,up,WTC-ER01-02-PO,32ba.e5cf.bbd1,3290
172.25.0.59,Po12,up,up,WTC-ER01-02-PO,3aa9.3b2d.91b1,3290
172.25.0.59,Po12,up,up,WTC-ER01-02-PO,4074.e0c5.846f,3290
172.25.0.59,Po12,up,up,WTC-ER01-02-PO,5231.78d7.6b83,3290
172.25.0.59,Po12,up,up,WTC-ER01-02-PO,581c.f865.593c,3290
172.25.0.59,Po12,up,up,WTC-ER01-02-PO,5a8c.4c55.3a5c,3290
172.25.0.59,Po12,up,up,WTC-ER01-02-PO,6624.51f4.c788,3290
172.25.0.59,Po12,up,up,WTC-ER01-02-PO,6e3c.da01.033a,3290
172.25.0.59,Po12,up,up,WTC-ER01-02-PO,768e.d394.8f34,3290
172.25.0.59,Po12,up,up,WTC-ER01-02-PO,7e89.b8c5.3c08,3290
172.25.0.59,Po12,up,up,WTC-ER01-02-PO,7eee.0c31.4a0e,3290
172.25.0.59,Po12,up,up,WTC-ER01-02-PO,863d.9804.8a35,3290
172.25.0.59,Po12,up,up,WTC-ER01-02-PO,8a0b.a714.b671,3290
172.25.0.59,Po12,up,up,WTC-ER01-02-PO,8e30.f133.dd32,3290
172.25.0.59,Po12,up,up,WTC-ER01-02-PO,ac23.16eb.831b,3290
172.25.0.59,Po12,up,up,WTC-ER01-02-PO,ac23.16eb.9a86,3290
172.25.0.59,Po12,up,up,WTC-ER01-02-PO,ac23.16eb.9a9a,3290
172.25.0.59,Po12,up,up,WTC-ER01-02-PO,ac23.16eb.aedb,3290
172.25.0.59,Po12,up,up,WTC-ER01-02-PO,ac23.16eb.b286,3290
172.25.0.59,Po12,up,up,WTC-ER01-02-PO,ac23.16eb.b29b,3290
172.25.0.59,Po12,up,up,WTC-ER01-02-PO,ac23.16ef.f546,3290
172.25.0.59,Po12,up,up,WTC-ER01-02-PO,ac23.16ef.f55a,3290
172.25.0.59,Po12,up,up,WTC-ER01-02-PO,ac23.16ef.f55b,3290
172.25.0.59,Po12,up,up,WTC-ER01-02-PO,b607.8e77.4208,3290
172.25.0.59,Po12,up,up,WTC-ER01-02-PO,b608.d1a9.bb79,3290
172.25.0.59,Po12,up,up,WTC-ER01-02-PO,b6c3.ee2b.b3a9,3290
172.25.0.59,Po12,up,up,WTC-ER01-02-PO,ce4c.b161.de52,3290
172.25.0.59,Po12,up,up,WTC-ER01-02-PO,e6b5.fd13.f8f3,3290
172.25.0.59,Po12,up,up,WTC-ER01-02-PO,fe03.121a.d81f,3290
172.25.0.60,Po11,up,up,to WWTC19WC06: Port1-2,021a.e588.4a1a,3234
172.25.0.60,Po11,up,up,to WWTC19WC06: Port1-2,264f.7818.0a77,3234
172.25.0.60,Po11,up,up,to WWTC19WC06: Port1-2,2ad2.9499.d6b6,3234
172.25.0.60,Po11,up,up,to WWTC19WC06: Port1-2,2aff.25b7.3c48,3234
172.25.0.60,Po11,up,up,to WWTC19WC06: Port1-2,2ef1.9636.98ce,3234
172.25.0.60,Po11,up,up,to WWTC19WC06: Port1-2,5216.c984.6078,3234
172.25.0.60,Po10,up,up,to WWTC19WC05: Port1-2,5a87.d818.37c2,3234
172.25.0.60,Po11,up,up,to WWTC19WC06: Port1-2,62d8.a59d.5d29,3234
172.25.0.60,Po11,up,up,to WWTC19WC06: Port1-2,6620.1e83.0610,3234
172.25.0.60,Po10,up,up,to WWTC19WC05: Port1-2,6637.a3b7.137c,3234
172.25.0.60,Po11,up,up,to WWTC19WC06: Port1-2,667b.5991.3e8c,3234
172.25.0.60,Po11,up,up,to WWTC19WC06: Port1-2,6aea.c0bc.6ba7,3234
172.25.0.60,Po10,up,up,to WWTC19WC05: Port1-2,7a25.4ac5.c361,3234
172.25.0.60,Po11,up,up,to WWTC19WC06: Port1-2,7e00.dd7d.1a40,3234
172.25.0.60,Po11,up,up,to WWTC19WC06: Port1-2,8627.a3eb.6aee,3234
172.25.0.60,Po11,up,up,to WWTC19WC06: Port1-2,8a25.ea61.6ff1,3234
172.25.0.60,Po11,up,up,to WWTC19WC06: Port1-2,8eb5.cf68.8fba,3234
172.25.0.60,Po11,up,up,to WWTC19WC06: Port1-2,ae9c.2e54.49ab,3234
172.25.0.60,Po11,up,up,to WWTC19WC06: Port1-2,b654.9e49.357e,3234
172.25.0.60,Po11,up,up,to WWTC19WC06: Port1-2,be83.9acb.40c5,3234
172.25.0.60,Po11,up,up,to WWTC19WC06: Port1-2,c680.401c.7a64,3234
172.25.0.60,Po10,up,up,to WWTC19WC05: Port1-2,ce78.9918.8642,3234
172.25.0.60,Po11,up,up,to WWTC19WC06: Port1-2,de02.5aa5.3561,3234
172.25.0.60,Po11,up,up,to WWTC19WC06: Port1-2,ea3d.6b62.6c83,3234
172.25.0.60,Po16,up,up,WTC-ER01-02-PO,062d.1a45.8946,3290
172.25.0.60,Po16,up,up,WTC-ER01-02-PO,162a.0f5b.cb84,3290
172.25.0.60,Po16,up,up,WTC-ER01-02-PO,1e6d.ab3c.eacc,3290
172.25.0.60,Po16,up,up,WTC-ER01-02-PO,1e76.0332.ebd2,3290
172.25.0.60,Po16,up,up,WTC-ER01-02-PO,32ba.e5cf.bbd1,3290
172.25.0.60,Po16,up,up,WTC-ER01-02-PO,4074.e0c5.846f,3290
172.25.0.60,Po16,up,up,WTC-ER01-02-PO,5231.78d7.6b83,3290
172.25.0.60,Po16,up,up,WTC-ER01-02-PO,581c.f865.593c,3290
172.25.0.60,Po16,up,up,WTC-ER01-02-PO,5a8c.4c55.3a5c,3290
172.25.0.60,Po16,up,up,WTC-ER01-02-PO,6624.51f4.c788,3290
172.25.0.60,Po16,up,up,WTC-ER01-02-PO,6e3c.da01.033a,3290
172.25.0.60,Po16,up,up,WTC-ER01-02-PO,768e.d394.8f34,3290
172.25.0.60,Po16,up,up,WTC-ER01-02-PO,7e89.b8c5.3c08,3290
172.25.0.60,Po16,up,up,WTC-ER01-02-PO,7eee.0c31.4a0e,3290
172.25.0.60,Po16,up,up,WTC-ER01-02-PO,8a0b.a714.b671,3290
172.25.0.60,Po16,up,up,WTC-ER01-02-PO,8e30.f133.dd32,3290
172.25.0.60,Po16,up,up,WTC-ER01-02-PO,a26a.0743.1805,3290
172.25.0.60,Po16,up,up,WTC-ER01-02-PO,ac23.16eb.8306,3290
172.25.0.60,Po16,up,up,WTC-ER01-02-PO,ac23.16eb.831b,3290
172.25.0.60,Po16,up,up,WTC-ER01-02-PO,ac23.16eb.9a86,3290
172.25.0.60,Po16,up,up,WTC-ER01-02-PO,ac23.16eb.9a9a,3290
172.25.0.60,Po16,up,up,WTC-ER01-02-PO,ac23.16eb.aedb,3290
172.25.0.60,Po16,up,up,WTC-ER01-02-PO,ac23.16eb.b286,3290
172.25.0.60,Po16,up,up,WTC-ER01-02-PO,ac23.16eb.b29b,3290
172.25.0.60,Po16,up,up,WTC-ER01-02-PO,ac23.16ef.f546,3290
172.25.0.60,Po16,up,up,WTC-ER01-02-PO,ac23.16ef.f55b,3290
172.25.0.60,Po16,up,up,WTC-ER01-02-PO,b607.8e77.4208,3290
172.25.0.60,Po16,up,up,WTC-ER01-02-PO,b608.d1a9.bb79,3290
172.25.0.60,Po16,up,up,WTC-ER01-02-PO,b6c3.ee2b.b3a9,3290
172.25.0.60,Po16,up,up,WTC-ER01-02-PO,ce4c.b161.de52,3290
172.25.0.60,Po16,up,up,WTC-ER01-02-PO,e6b5.fd13.f8f3,3290
172.25.0.60,Po16,up,up,WTC-ER01-02-PO,fe03.121a.d81f,3290
172.18.2.131,Te2/0/45,up,up,"""WAP Ports""",127f.1dbd.1d83,3290
172.18.2.131,Te1/0/48,up,up,"""WAP Ports""",1ec4.c56a.ffd5,3290
172.18.2.131,Te2/0/44,up,up,"""WAP Ports""",4e79.f077.23d4,3290
172.18.2.131,Te2/0/47,up,up,"""WAP Ports""",5e5f.20da.b639,3290
172.18.2.131,Te1/0/45,up,up,"""WAP Ports""",8eac.3d63.5832,3290
172.18.2.131,Vl3290,up,up,GUEST,a0bc.6ffb.ed4c,3290
172.18.2.131,Te1/0/47,up,up,"""WAP Ports""",a26a.0743.1805,3290
172.18.2.131,Te2/0/44,up,up,"""WAP Ports""",ac23.16f0.e61c,3290
172.18.2.131,Te2/0/47,up,up,"""WAP Ports""",ac23.16f0.f4dc,3290
172.18.2.131,Te2/0/45,up,up,"""WAP Ports""",ce3a.ac50.dd1b,3290
172.18.2.131,Te2/0/45,up,up,"""WAP Ports""",cef1.0a02.e62d,3290
172.18.2.131,Tw2/0/25,up,up,"""DATA - Wired - 802.1x""",c442.6815.2e1a,1120
172.18.2.139,Te1/0/41,up,up,"""AV - Wired - 802.1x""",c463.fb06.65f1,2120
172.18.2.139,Tw3/0/19,up,up,"""DATA - Wired - 802.1x""",0005.a626.8bd5,2820
172.18.2.139,Te2/0/43,up,up,"""WAP Ports""",a26a.0743.1805,3290
172.18.2.139,Te1/0/44,up,up,"""WAP Ports""",ac23.16f0.f8c7,3290
172.18.2.139,Te3/0/47,up,up,"""WAP Ports""",f2ef.6b3e.eca9,3290
172.18.2.147,Tw3/0/7,up,up,"""DATA - Wired - 802.1x""",1098.1963.7896,1121
172.18.2.147,Tw2/0/22,up,up,"""DATA - Wired - 802.1x""",1098.1963.a616,1121
172.18.2.147,Tw2/0/19,up,up,"""DATA - Wired - 802.1x""",ac1a.3d86.b5fe,1121
172.18.2.147,Te2/0/45,up,up,"""WAP Ports""",ac23.16ec.fd32,1121
172.18.2.147,Tw4/0/2,up,up,"""DATA - Wired - 802.1x""",e8cf.83b6.a08a,1121
172.18.2.147,Te4/0/45,up,up,"""WAP Ports""",0ea8.6914.acee,3290
172.18.2.147,Te2/0/47,up,up,"""WAP Ports""",0eb3.6df1.79f9,3290
172.18.2.147,Te4/0/45,up,up,"""WAP Ports""",165a.e74f.ca61,3290
172.18.2.147,Te1/0/46,up,up,"""WAP Ports""",1686.a60d.5ed5,3290
172.18.2.147,Te3/0/45,up,up,"""WAP Ports""",1af0.3db1.7378,3290
172.18.2.147,Te2/0/47,up,up,"""WAP Ports""",1e16.2a63.c1ee,3290
172.18.2.147,Te1/0/45,up,up,"""WAP Ports""",1e2d.03cd.497d,3290
172.18.2.147,Te4/0/45,up,up,"""WAP Ports""",22e0.c2c8.d812,3290
172.18.2.147,Te3/0/47,up,up,"""WAP Ports""",22e8.5921.c78a,3290
172.18.2.147,Te2/0/47,up,up,"""WAP Ports""",362c.bc04.7d78,3290
172.18.2.147,Te3/0/47,up,up,"""WAP Ports""",36d9.5718.7949,3290
